id,appearances,team,goals,from,to
WC-2026-040,15,→České Budějovice(loan),3,2020,None
WC-2026-040,32,→Jablonec(loan),5,2022,2023
WC-2026-040,27,Lyon,11,2025,None
WC-2026-041,4,Sparta Prague,0,2014,2016
WC-2026-041,27,→Bohemians 1905(loan),8,2015,2016
WC-2026-041,32,Sampdoria,11,2016,2017
WC-2026-041,46,Roma,5,2017,2020
WC-2026-041,22,→RB Leipzig(loan),10,2019,2020
WC-2026-041,149,Bayer Leverkusen,80,2020,None
WC-2026-042,0,Viktoria Plzeň,0,2016,2019
WC-2026-042,40,→Baník Sokolov(loan),2,2016,2018
WC-2026-042,20,→České Budějovice(loan),4,2019,None
WC-2026-042,6,→Slavia Prague(loan),1,2019,None
WC-2026-042,162,Slavia Prague,23,2020,None
WC-2026-044,17,Viktoria Plzeň,0,2021,2025
WC-2026-044,None,→Táborsko(loan),None,2023,2024
WC-2026-044,18,Hradec Králové,1,2025,2026
WC-2026-044,15,Viktoria Plzeň,2,2026,None
WC-2026-045,114,Slavia Prague,31,2014,2020
WC-2026-045,14,→Viktoria Žižkov(loan),0,2015,None
WC-2026-045,12,→Slovan Liberec(loan),0,2017,None
WC-2026-045,13,→West Ham United(loan),3,2020,None
WC-2026-045,216,West Ham United,38,2020,None
WC-2026-046,None,Bílovec,None,2009,2010
WC-2026-046,14,Hlučín,0,2010,2012
WC-2026-046,13,→Opava(loan),1,2012,None
WC-2026-046,118,Slovan Liberec,3,2012,2018
WC-2026-046,65,Slavia Prague,6,2018,2020
WC-2026-046,147,West Ham United,0,2020,2025
WC-2026-046,34,TSG Hoffenheim,1,2025,None
WC-2026-047,47,Zbrojovka Brno,4,2016,2019
WC-2026-047,109,Sparta Prague,34,2019,2024
WC-2026-047,30,Girona,2,2024,None
WC-2026-047,28,→Wolverhampton Wanderers(loan),2,2025,None
WC-2026-048,38,Viktoria Plzeň,3,2018,2024
WC-2026-048,16,→Viktoria Plzeň B,2,2018,2021
WC-2026-048,18,→Liptovský Mikuláš(loan),1,2021,None
WC-2026-048,39,→Pardubice(loan),2,2022,2023
WC-2026-048,33,TSG Hoffenheim,1,2024,None
WC-2026-049,59,Teplice,3,2022,2024
WC-2026-049,44,Slavia Prague,8,2024,None
WC-2026-049,6,Slavia Prague B,0,2024,2025
WC-2026-050,0,Manchester United,0,2020,2023
WC-2026-050,18,→Swindon Town(loan),0,2020,2021
WC-2026-050,6,→Burton Albion(loan),0,2022,None
WC-2026-050,28,→Sparta Prague(loan),0,2022,2023
WC-2026-050,6,Bayer Leverkusen,0,2023,2026
WC-2026-050,18,→PSV(loan),0,2025,2026
WC-2026-050,13,PSV,0,2026,None
WC-2026-051,3,Montreal Impact,0,2013,2018
WC-2026-051,30,→FC Montreal(loan),0,2015,2016
WC-2026-051,31,→Ottawa Fury(loan),0,2018,None
WC-2026-051,57,Vancouver Whitecaps,0,2019,2022
WC-2026-051,40,Los Angeles FC,0,2022,2023
WC-2026-051,5,→Los Angeles FC 2(loan),0,2023,None
